sensor,data_min,data_max,scale,min_offset
TP2,-0.032,10.676,0.1867762420620097,-0.9940231602540157
TP3,0.8919999999999995,10.288,0.21285653469561513,-1.1898680289484886
H1,-0.0339999999999989,10.288,0.19376089905057162,-0.9934121294322807
DV_pressure,-0.0300000000000011,9.844,0.20255215718047395,-0.9939234352845856
Reservoirs,0.870000000000001,10.29,0.2123142250530786,-1.1847133757961785
Oil_temperature,19.825000000000003,80.225,0.033112582781456956,-1.656456953642384
Motor_current,0.0199999999999995,9.27,0.21621621621621623,-1.0043243243243243
COMP,0.0,1.0,2.0,-1.0
DV_eletric,0.0,1.0,2.0,-1.0
Towers,0.0,1.0,2.0,-1.0
MPG,0.0,1.0,2.0,-1.0
LPS,0.0,1.0,2.0,-1.0
