event_id,event_start,preferred_status,strict_new_early_detected,strict_first_early_alert,strict_early_lead_minutes,overlapping_early_detected,overlap_episode_start,overlap_already_active_at_24h_boundary,late_detected,first_late_alert,late_alert_relative_to_start_minutes,threshold_quantile,persistence_label
F01,2020-04-18 00:00:00,STRICT_EARLY,1,2020-04-17 10:10:00,830.0,1,2020-04-16 20:15:00,1,1,2020-04-17 22:00:00,-120.0,0.995,3-of-4
F02,2020-05-29 23:30:00,STRICT_EARLY,1,2020-05-29 20:35:00,175.0,1,2020-05-28 04:55:00,1,1,2020-05-29 21:30:00,-120.0,0.995,3-of-4
F03,2020-06-05 10:00:00,STRICT_EARLY,1,2020-06-04 21:50:00,730.0,1,2020-06-04 21:50:00,0,1,2020-06-05 08:00:00,-120.0,0.995,3-of-4
F04,2020-07-15 14:30:00,STRICT_EARLY,1,2020-07-14 22:45:00,945.0,1,2020-07-14 22:45:00,0,1,2020-07-15 12:30:00,-120.0,0.995,3-of-4
F01,2020-04-18 00:00:00,STRICT_EARLY,1,2020-04-17 10:15:00,825.0,1,2020-04-16 20:20:00,1,1,2020-04-17 22:00:00,-120.0,0.995,4-of-4
F02,2020-05-29 23:30:00,STRICT_EARLY,1,2020-05-29 20:40:00,170.0,1,2020-05-28 04:55:00,1,1,2020-05-29 21:30:00,-120.0,0.995,4-of-4
F03,2020-06-05 10:00:00,STRICT_EARLY,1,2020-06-04 14:50:00,1150.0,1,2020-06-04 14:50:00,0,1,2020-06-06 21:00:00,2100.0,0.995,4-of-4
F04,2020-07-15 14:30:00,STRICT_EARLY,1,2020-07-14 22:45:00,945.0,1,2020-07-14 22:45:00,0,1,2020-07-15 12:30:00,-120.0,0.995,4-of-4
F01,2020-04-18 00:00:00,STRICT_EARLY,1,2020-04-17 10:15:00,825.0,1,2020-04-16 20:15:00,1,1,2020-04-17 22:00:00,-120.0,0.999,3-of-4
F02,2020-05-29 23:30:00,STRICT_EARLY,1,2020-05-29 20:35:00,175.0,1,2020-05-28 04:55:00,1,1,2020-05-29 21:30:00,-120.0,0.999,3-of-4
F03,2020-06-05 10:00:00,STRICT_EARLY,1,2020-06-04 14:55:00,1145.0,1,2020-06-04 14:55:00,0,1,2020-06-06 21:00:00,2100.0,0.999,3-of-4
F04,2020-07-15 14:30:00,STRICT_EARLY,1,2020-07-14 22:45:00,945.0,1,2020-07-14 22:45:00,0,1,2020-07-15 12:30:00,-120.0,0.999,3-of-4
F01,2020-04-18 00:00:00,STRICT_EARLY,1,2020-04-17 10:20:00,820.0,1,2020-04-16 20:20:00,1,1,2020-04-17 22:00:00,-120.0,0.999,4-of-4
F02,2020-05-29 23:30:00,STRICT_EARLY,1,2020-05-29 20:40:00,170.0,1,2020-05-28 04:55:00,1,1,2020-05-29 21:30:00,-120.0,0.999,4-of-4
F03,2020-06-05 10:00:00,STRICT_EARLY,1,2020-06-04 15:00:00,1140.0,1,2020-06-04 15:00:00,0,1,2020-06-06 21:00:00,2100.0,0.999,4-of-4
F04,2020-07-15 14:30:00,STRICT_EARLY,1,2020-07-14 22:45:00,945.0,1,2020-07-14 22:45:00,0,1,2020-07-15 12:30:00,-120.0,0.999,4-of-4
F01,2020-04-18 00:00:00,STRICT_EARLY,1,2020-04-17 10:15:00,825.0,1,2020-04-16 20:15:00,1,1,2020-04-17 22:00:00,-120.0,0.9995,3-of-4
F02,2020-05-29 23:30:00,STRICT_EARLY,1,2020-05-29 20:35:00,175.0,1,2020-05-28 04:55:00,1,1,2020-05-29 21:30:00,-120.0,0.9995,3-of-4
F03,2020-06-05 10:00:00,STRICT_EARLY,1,2020-06-04 15:00:00,1140.0,1,2020-06-04 15:00:00,0,1,2020-06-06 21:00:00,2100.0,0.9995,3-of-4
F04,2020-07-15 14:30:00,STRICT_EARLY,1,2020-07-14 22:45:00,945.0,1,2020-07-14 22:45:00,0,1,2020-07-15 12:30:00,-120.0,0.9995,3-of-4
F01,2020-04-18 00:00:00,STRICT_EARLY,1,2020-04-17 10:20:00,820.0,1,2020-04-16 20:20:00,1,1,2020-04-17 22:00:00,-120.0,0.9995,4-of-4
F02,2020-05-29 23:30:00,STRICT_EARLY,1,2020-05-29 20:40:00,170.0,1,2020-05-28 04:55:00,1,1,2020-05-29 21:30:00,-120.0,0.9995,4-of-4
F03,2020-06-05 10:00:00,STRICT_EARLY,1,2020-06-04 15:05:00,1135.0,1,2020-06-04 15:05:00,0,1,2020-06-06 21:00:00,2100.0,0.9995,4-of-4
F04,2020-07-15 14:30:00,STRICT_EARLY,1,2020-07-14 22:45:00,945.0,1,2020-07-14 22:45:00,0,1,2020-07-15 12:30:00,-120.0,0.9995,4-of-4
