split,validation_event,horizon_minutes,model,threshold_quantile,threshold_value,event_detected,warning_minutes,first_alert_timestamp,false_alarm_episodes,negative_days,false_alarm_episodes_per_day,earliest_warning_360m
fold_F02,F02,15,Random Forest Temporal,0.99,0.0,1,15.0,2020-05-29 23:15:00,34,27.61111111111111,1.2313883299798793,360.0
fold_F02,F02,15,Random Forest Temporal,0.995,0.0,1,15.0,2020-05-29 23:15:00,34,27.61111111111111,1.2313883299798793,360.0
fold_F02,F02,15,Random Forest Temporal,0.999,0.006665240748707123,0,,,19,27.61111111111111,0.6881287726358148,
fold_F02,F02,15,Random Forest Temporal,0.9995,0.03996135864015657,0,,,28,27.61111111111111,1.0140845070422535,
fold_F02,F02,15,LightGBM Current,0.99,0.0001613810154867201,0,,,71,27.61111111111111,2.5714285714285716,
fold_F02,F02,15,LightGBM Current,0.995,0.9928301425020313,0,,,0,27.61111111111111,0.0,
fold_F02,F02,15,LightGBM Current,0.999,0.9942986632457231,0,,,0,27.61111111111111,0.0,
fold_F02,F02,15,LightGBM Current,0.9995,0.9962355850130491,0,,,0,27.61111111111111,0.0,
fold_F02,F02,15,LightGBM Temporal,0.99,2.6041414330668187e-05,0,,,36,27.61111111111111,1.3038229376257546,
fold_F02,F02,15,LightGBM Temporal,0.995,5.900392160577437e-05,0,,,20,27.61111111111111,0.7243460764587525,
fold_F02,F02,15,LightGBM Temporal,0.999,0.0029457686782292988,0,,,4,27.61111111111111,0.1448692152917505,
fold_F02,F02,15,LightGBM Temporal,0.9995,0.026477964758616992,0,,,36,27.61111111111111,1.3038229376257546,
fold_F02,F02,15,Isolation Forest Temporal,0.99,0.068743698422126,1,8.0,2020-05-29 23:22:00,22,27.61111111111111,0.7967806841046278,8.0
fold_F02,F02,15,Isolation Forest Temporal,0.995,0.0981702074224651,1,5.0,2020-05-29 23:25:00,78,27.61111111111111,2.8249496981891347,5.0
fold_F02,F02,15,Isolation Forest Temporal,0.999,0.15383739578751301,0,,,15,27.61111111111111,0.5432595573440644,
fold_F02,F02,15,Isolation Forest Temporal,0.9995,0.18680246077466753,0,,,1,27.61111111111111,0.03621730382293763,
fold_F02,F02,30,Random Forest Temporal,0.99,0.0,1,30.0,2020-05-29 23:00:00,34,27.61111111111111,1.2313883299798793,360.0
fold_F02,F02,30,Random Forest Temporal,0.995,0.0,1,30.0,2020-05-29 23:00:00,34,27.61111111111111,1.2313883299798793,360.0
fold_F02,F02,30,Random Forest Temporal,0.999,0.013318231538102049,0,,,11,27.61111111111111,0.3983903420523139,
fold_F02,F02,30,Random Forest Temporal,0.9995,0.0332908783864486,0,,,29,27.61111111111111,1.0503018108651911,
fold_F02,F02,30,LightGBM Current,0.99,0.00025410941833955064,0,,,3,27.61111111111111,0.10865191146881288,
fold_F02,F02,30,LightGBM Current,0.995,0.9921931628804321,0,,,0,27.61111111111111,0.0,
fold_F02,F02,30,LightGBM Current,0.999,0.9939170367505877,0,,,0,27.61111111111111,0.0,
fold_F02,F02,30,LightGBM Current,0.9995,0.9958944050657734,0,,,0,27.61111111111111,0.0,
fold_F02,F02,30,LightGBM Temporal,0.99,2.5580343022503992e-05,1,30.0,2020-05-29 23:00:00,34,27.61111111111111,1.2313883299798793,360.0
fold_F02,F02,30,LightGBM Temporal,0.995,7.638084915570705e-05,0,,,73,27.61111111111111,2.643863179074447,
fold_F02,F02,30,LightGBM Temporal,0.999,0.008978090426170671,0,,,25,27.61111111111111,0.9054325955734407,
fold_F02,F02,30,LightGBM Temporal,0.9995,0.01104697890980187,0,,,22,27.61111111111111,0.7967806841046278,
fold_F02,F02,30,Isolation Forest Temporal,0.99,0.068743698422126,1,8.0,2020-05-29 23:22:00,22,27.61111111111111,0.7967806841046278,8.0
fold_F02,F02,30,Isolation Forest Temporal,0.995,0.0981702074224651,1,5.0,2020-05-29 23:25:00,78,27.61111111111111,2.8249496981891347,5.0
fold_F02,F02,30,Isolation Forest Temporal,0.999,0.15383739578751301,0,,,15,27.61111111111111,0.5432595573440644,
fold_F02,F02,30,Isolation Forest Temporal,0.9995,0.18680246077466753,0,,,1,27.61111111111111,0.03621730382293763,
fold_F02,F02,60,Random Forest Temporal,0.99,0.0,1,60.0,2020-05-29 22:30:00,34,27.61111111111111,1.2313883299798793,360.0
fold_F02,F02,60,Random Forest Temporal,0.995,0.0,1,60.0,2020-05-29 22:30:00,34,27.61111111111111,1.2313883299798793,360.0
fold_F02,F02,60,Random Forest Temporal,0.999,0.02447341167610356,0,,,22,27.61111111111111,0.7967806841046278,
fold_F02,F02,60,Random Forest Temporal,0.9995,0.08306334200146535,0,,,15,27.61111111111111,0.5432595573440644,
fold_F02,F02,60,LightGBM Current,0.99,0.00022991139954959283,0,,,3,27.61111111111111,0.10865191146881288,
fold_F02,F02,60,LightGBM Current,0.995,0.9903808410508587,0,,,0,27.61111111111111,0.0,
fold_F02,F02,60,LightGBM Current,0.999,0.9942209357020942,0,,,0,27.61111111111111,0.0,
fold_F02,F02,60,LightGBM Current,0.9995,0.9948423260288644,0,,,0,27.61111111111111,0.0,
fold_F02,F02,60,LightGBM Temporal,0.99,2.4764787843005507e-05,1,60.0,2020-05-29 22:30:00,41,27.61111111111111,1.4849094567404426,360.0
fold_F02,F02,60,LightGBM Temporal,0.995,0.00012501222034482786,0,,,34,27.61111111111111,1.2313883299798793,
fold_F02,F02,60,LightGBM Temporal,0.999,0.007968301844365576,0,,,35,27.61111111111111,1.267605633802817,
fold_F02,F02,60,LightGBM Temporal,0.9995,0.015400720454174954,0,,,33,27.61111111111111,1.1951710261569417,
fold_F02,F02,60,Isolation Forest Temporal,0.99,0.068743698422126,1,8.0,2020-05-29 23:22:00,22,27.61111111111111,0.7967806841046278,8.0
fold_F02,F02,60,Isolation Forest Temporal,0.995,0.0981702074224651,1,5.0,2020-05-29 23:25:00,78,27.61111111111111,2.8249496981891347,5.0
fold_F02,F02,60,Isolation Forest Temporal,0.999,0.15383739578751301,0,,,15,27.61111111111111,0.5432595573440644,
