split,validation_event,horizon_minutes,model,model_type,feature_count,average_precision,pr_auc,roc_auc,positive_prevalence,ap_lift_over_prevalence
fold_F02,F02,15,Random Forest Temporal,supervised,264,0.0003771213073538655,0.00018856065367693276,0.4812625754527163,0.0003771213073538655,1.0
fold_F02,F02,15,LightGBM Current,supervised,71,0.0004029280081629335,0.00039683520937151785,0.507272803487592,0.0003771213073538655,1.0684307683120453
fold_F02,F02,15,LightGBM Temporal,supervised,264,0.00036243048807188554,0.0002532539391064378,0.4490870221327968,0.0003771213073538655,0.9610448442039498
fold_F02,F02,15,Isolation Forest Temporal,anomaly,264,0.0015650178517679198,0.0014510582555102708,0.8791532528504359,0.0003771213073538655,4.149905670271267
fold_F02,F02,30,Random Forest Temporal,supervised,264,0.0007539582809751194,0.0003769791404875597,0.48223088531187125,0.0007539582809751194,1.0
fold_F02,F02,30,LightGBM Current,supervised,71,0.0007384709561749349,0.0005767351075524149,0.47415409121395036,0.0007539582809751194,0.9794586448733553
fold_F02,F02,30,LightGBM Temporal,supervised,264,0.0007539582809751194,0.0003769791404875597,0.45495472837022133,0.0007539582809751194,1.0
fold_F02,F02,30,Isolation Forest Temporal,anomaly,264,0.0013951648820418547,0.0013242638791790625,0.7012214956405097,0.0007539582809751194,1.85045368854818
fold_F02,F02,60,Random Forest Temporal,supervised,264,0.0015067805123053742,0.0007533902561526871,0.47747736418511066,0.0015067805123053742,1.0
fold_F02,F02,60,LightGBM Current,supervised,71,0.0014748494092424326,0.0009523350351384833,0.4589667169684776,0.0015067805123053742,0.9788083912672277
fold_F02,F02,60,LightGBM Temporal,supervised,264,0.0015087507543753772,0.0007543753771876886,0.45616197183098595,0.0015067805123053742,1.0013075839871253
fold_F02,F02,60,Isolation Forest Temporal,anomaly,264,0.0018292219829240293,0.0017783427103757361,0.5874798792756539,0.0015067805123053742,1.2139936560005808
fold_F02,F02,120,Random Forest Temporal,supervised,264,0.003009027081243731,0.0015045135406218655,0.45652665995975855,0.003009027081243731,1.0
fold_F02,F02,120,LightGBM Current,supervised,71,0.0028187560523245453,0.0022084110990532274,0.4500241029510395,0.003009027081243731,0.936766594722524
fold_F02,F02,120,LightGBM Temporal,supervised,264,0.0030100837806652284,0.0015050418903326142,0.45501760563380284,0.003009027081243731,1.0003511764410777
fold_F02,F02,120,Isolation Forest Temporal,anomaly,264,0.003146842515199148,0.0031056206604128216,0.5588482981220657,0.003009027081243731,1.0458006625511835
fold_F03,F03,15,Random Forest Temporal,supervised,264,0.10944884712600916,0.09791403291677903,0.7888958990536278,0.0023603461841070024,46.369828232385885
fold_F03,F03,15,LightGBM Current,supervised,71,0.2162044179676717,0.2101371470837549,0.8470241850683492,0.0023603461841070024,91.59860507897025
fold_F03,F03,15,LightGBM Temporal,supervised,264,0.18482689189226428,0.15025013227453524,0.7518296529968455,0.0023603461841070024,78.30499319835597
fold_F03,F03,15,Isolation Forest Temporal,anomaly,264,0.023347731938686507,0.02072121127930772,0.8214931650893796,0.0023603461841070024,9.891655764690183
fold_F03,F03,30,Random Forest Temporal,supervised,264,0.009315070804088776,0.009899088168892262,0.5834621451104101,0.004709576138147566,1.9779000340681836
fold_F03,F03,30,LightGBM Current,supervised,71,0.007152131624040797,0.006700718745731279,0.6432097791798107,0.004709576138147566,1.5186359481713294
fold_F03,F03,30,LightGBM Temporal,supervised,264,0.02773201040639467,0.024228868982879393,0.44591482649842273,0.004709576138147566,5.8884302096244685
fold_F03,F03,30,Isolation Forest Temporal,anomaly,264,0.015442496701366397,0.014026442511623558,0.6194637223974764,0.004709576138147566,3.278956799590132
fold_F03,F03,60,Random Forest Temporal,supervised,264,0.008286499346924329,0.005932628639031542,0.33142350157728706,0.009375,0.8838932636719284
fold_F03,F03,60,LightGBM Current,supervised,71,0.014934962885795157,0.014300482310557708,0.6289011566771819,0.009375,1.59306270781815
fold_F03,F03,60,LightGBM Temporal,supervised,264,0.009899061260503822,0.009145854046498057,0.4053430599369085,0.009375,1.0558998677870743
fold_F03,F03,60,Isolation Forest Temporal,anomaly,264,0.014217416697735222,0.013410102831203993,0.5279915878023134,0.009375,1.5165244477584237
fold_F03,F03,120,Random Forest Temporal,supervised,264,0.015844326735461628,0.015060736268506373,0.4361501051524711,0.018575851393188854,0.852952922592351
fold_F03,F03,120,LightGBM Current,supervised,71,0.02882010871363536,0.02807107956116478,0.6490181388012619,0.018575851393188854,1.551482519084037
fold_F03,F03,120,LightGBM Temporal,supervised,264,0.018186296780523626,0.017796432733288275,0.5269985541535226,0.018575851393188854,0.9790289766848552
fold_F03,F03,120,Isolation Forest Temporal,anomaly,264,0.020877765171055336,0.02035835916511012,0.5321319663512093,0.018575851393188854,1.123919691708479
