split,validation_event,candidate,threshold_quantile,threshold_value,event_detected,detection_delay_minutes,false_alarm_episodes,negative_days,false_alarm_episodes_per_day
fault_F02,F02,LightGBM Current,0.99,0.9900001195657372,1,1.0,11,27.611805555555556,0.39838032242649835
fault_F02,F02,LightGBM Current,0.995,0.995038021904443,1,1.0,3,27.611805555555556,0.10864917884359045
fault_F02,F02,LightGBM Current,0.999,0.9993782581663399,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,LightGBM Current,0.9995,0.9998206513941365,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,XGBoost Current,0.99,0.9900078913386579,1,1.0,140,27.611805555555556,5.070295012700888
fault_F02,F02,XGBoost Current,0.995,0.9955282414271366,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,XGBoost Current,0.999,0.9993663015926156,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,XGBoost Current,0.9995,0.9998086948204122,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,Random Forest Current,0.99,0.990016260940265,1,1.0,144,27.611805555555556,5.215160584492342
fault_F02,F02,Random Forest Current,0.995,0.9950021521832704,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,Random Forest Current,0.999,0.9998206513941365,1,1.0,1,27.611805555555556,0.03621639294786348
fault_F02,F02,Random Forest Current,0.9995,0.9998206513941365,1,1.0,1,27.611805555555556,0.03621639294786348
fault_F02,F02,Isolation Forest Current,0.99,0.990016260940265,0,,119,27.611805555555556,4.309750760795755
fault_F02,F02,Isolation Forest Current,0.995,0.9950260653307188,0,,250,27.611805555555556,9.05409823696587
fault_F02,F02,Isolation Forest Current,0.999,0.9991309364388561,0,,26,27.611805555555556,0.9416262166444506
fault_F02,F02,Isolation Forest Current,0.9995,0.999500005978287,0,,24,27.611805555555556,0.8691934307487236
fault_F02,F02,LGBM_XGB_50_50,0.99,0.9889380769046822,1,1.0,142,27.611805555555556,5.142727798596614
fault_F02,F02,LGBM_XGB_50_50,0.995,0.9955641111483093,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,LGBM_XGB_50_50,0.999,0.9993722798794777,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,LGBM_XGB_50_50,0.9995,0.9998146731072743,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,LGBM_IF_80_20,0.99,0.9751901095222154,1,1.0,38,27.611805555555556,1.3762229320188124
fault_F02,F02,LGBM_IF_80_20,0.995,0.9852360227653164,1,1.0,143,27.611805555555556,5.1789441915444785
fault_F02,F02,LGBM_IF_80_20,0.999,0.99649194126931,1,23.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,LGBM_IF_80_20,0.9995,0.9987086900377828,0,,40,27.611805555555556,1.4486557179145394
fault_F02,F02,LGBM_XGB_IF_40_40_20,0.99,0.9739473432493183,1,1.0,39,27.611805555555556,1.4124393249666758
fault_F02,F02,LGBM_XGB_IF_40_40_20,0.995,0.9852312401358267,1,1.0,138,27.611805555555556,4.997862226805161
fault_F02,F02,LGBM_XGB_IF_40_40_20,0.999,0.99649194126931,1,23.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,LGBM_XGB_IF_40_40_20,0.9995,0.9987039074082932,0,,41,27.611805555555556,1.4848721108624028
fault_F02,F02,MAX_LGBM_IF,0.99,0.9940814960065044,1,1.0,138,27.611805555555556,4.997862226805161
fault_F02,F02,MAX_LGBM_IF,0.995,0.9988521689224735,1,1.0,47,27.611805555555556,1.7021704685495838
fault_F02,F02,MAX_LGBM_IF,0.999,0.99968912908317,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F02,F02,MAX_LGBM_IF,0.9995,0.9998206513941365,1,1.0,2,27.611805555555556,0.07243278589572696
fault_F03,F03,LightGBM Current,0.99,0.9900726117540277,1,1.0,6,4.403472222222222,1.3625611102349788
fault_F03,F03,LightGBM Current,0.995,0.9950484618626212,1,1.0,3,4.403472222222222,0.6812805551174894
fault_F03,F03,LightGBM Current,0.999,0.999222016921132,1,1.0,0,4.403472222222222,0.0
fault_F03,F03,LightGBM Current,0.9995,0.9995785924989464,1,1.0,0,4.403472222222222,0.0
fault_F03,F03,XGBoost Current,0.99,0.9900000810399041,1,1.0,4,4.403472222222222,0.9083740734899859
fault_F03,F03,XGBoost Current,0.995,0.995000040519952,1,1.0,3,4.403472222222222,0.6812805551174894
fault_F03,F03,XGBoost Current,0.999,0.9992139129307271,0,,0,4.403472222222222,0.0
fault_F03,F03,XGBoost Current,0.9995,0.9995704885085416,0,,0,4.403472222222222,0.0
fault_F03,F03,Random Forest Current,0.99,0.9900000810399041,1,1.0,10,4.403472222222222,2.2709351837249647
fault_F03,F03,Random Forest Current,0.995,0.995000040519952,1,1.0,4,4.403472222222222,0.9083740734899859
fault_F03,F03,Random Forest Current,0.999,0.9998784401439269,0,,0,4.403472222222222,0.0
fault_F03,F03,Random Forest Current,0.9995,0.9998784401439269,0,,0,4.403472222222222,0.0
fault_F03,F03,Isolation Forest Current,0.99,0.9903886673798178,0,,1,4.403472222222222,0.22709351837249647
fault_F03,F03,Isolation Forest Current,0.995,0.995000040519952,0,,0,4.403472222222222,0.0
fault_F03,F03,Isolation Forest Current,0.999,0.9991977049499173,0,,0,4.403472222222222,0.0
fault_F03,F03,Isolation Forest Current,0.9995,0.9995056565853025,0,,0,4.403472222222222,0.0
fault_F03,F03,LGBM_XGB_50_50,0.99,0.9873660815585595,1,1.0,5,4.403472222222222,1.1354675918624824
fault_F03,F03,LGBM_XGB_50_50,0.995,0.9945500664527214,1,1.0,3,4.403472222222222,0.6812805551174894
fault_F03,F03,LGBM_XGB_50_50,0.999,0.999027521151415,0,,0,4.403472222222222,0.0
fault_F03,F03,LGBM_XGB_50_50,0.9995,0.999574540503744,0,,0,4.403472222222222,0.0
fault_F03,F03,LGBM_IF_80_20,0.99,0.971723637719213,1,1.0,4,4.403472222222222,0.9083740734899859
fault_F03,F03,LGBM_IF_80_20,0.995,0.9849638562027943,1,97.0,0,4.403472222222222,0.0
fault_F03,F03,LGBM_IF_80_20,0.999,0.9985202113520698,0,,0,4.403472222222222,0.0
fault_F03,F03,LGBM_IF_80_20,0.9995,0.9985623521021751,0,,0,4.403472222222222,0.0
fault_F03,F03,LGBM_XGB_IF_40_40_20,0.99,0.9701946578495253,1,1.0,3,4.403472222222222,0.6812805551174894
