split,validation_event,candidate,pr_auc,average_precision,roc_auc,positive_prevalence,ap_lift_over_prevalence
fault_F02,F02,LightGBM Current,0.572503946216476,0.16199956528649836,0.9713761270908254,0.009737995616656704,16.635822366709675
fault_F02,F02,XGBoost Current,0.5724046928179308,0.16193993336845583,0.971127004311117,0.009737995616656704,16.629698733018515
fault_F02,F02,Random Forest Current,0.6055520197735886,0.22783170559524454,0.9784559610681495,0.009737995616656704,23.39616021243033
fault_F02,F02,Isolation Forest Current,0.03892193035396501,0.03909844257546929,0.8841258746071717,0.009737995616656704,4.0150400672384725
fault_F02,F02,LGBM_XGB_50_50,0.5724255234977389,0.16196038145925712,0.9712236495413035,0.009737995616656704,16.631798558445247
fault_F02,F02,LGBM_IF_80_20,0.07973906570001961,0.08009685506290644,0.9450057121994454,0.009737995616656704,8.225189065181123
fault_F02,F02,LGBM_XGB_IF_40_40_20,0.07893119512080007,0.07926528197876659,0.9441128775121891,0.009737995616656704,8.139794378545872
fault_F02,F02,MAX_LGBM_IF,0.5724492366895917,0.1619526493639422,0.9711493565357359,0.009737995616656704,16.631004545424574
fault_F03,F03,LightGBM Current,0.9859161150369922,0.9859463841875873,0.9955841123966751,0.2926938092582264,3.368524898720168
fault_F03,F03,XGBoost Current,0.9896356273938891,0.9896014412843168,0.9968612489951189,0.2926938092582264,3.3810125461562124
fault_F03,F03,Random Forest Current,0.9758992205532985,0.9686003421973893,0.9834812447832727,0.2926938092582264,3.30926145876509
fault_F03,F03,Isolation Forest Current,0.6694207861653922,0.6697080888250353,0.9231947478854223,0.2926938092582264,2.2880842287791316
fault_F03,F03,LGBM_XGB_50_50,0.9891478271710776,0.9891488844587851,0.996597377548744,0.2926938092582264,3.3794663678250796
fault_F03,F03,LGBM_IF_80_20,0.9719483688490581,0.9721736883663876,0.9944827698947231,0.2926938092582264,3.3214699375779975
fault_F03,F03,LGBM_XGB_IF_40_40_20,0.9758282133510623,0.9760586767759115,0.9955556547882346,0.2926938092582264,3.3347431544573354
fault_F03,F03,MAX_LGBM_IF,0.9716336117165563,0.9721774942424598,0.9910702909539544,0.2926938092582264,3.321482940504441
