split,horizon_minutes,model,positive_median,negative_median,neg_p95,neg_p99,neg_p995,neg_p999,positive_fraction_above_neg_p95,positive_fraction_above_neg_p99,positive_fraction_above_neg_p995,positive_fraction_above_neg_p999
fold_F02,15,Logistic Current,4.3438587287702437e-13,1.3904421813450923e-13,3.026168589401163e-06,0.0001998266346923346,0.0008288474025645147,0.027680768473600733,0.0,0.0,0.0,0.0
fold_F02,15,Logistic Temporal,3.6895392336039215e-43,2.650319419896265e-28,1.0147733872046715e-08,0.002515069248056862,0.043383779035479686,0.549325877769048,0.0,0.0,0.0,0.0
fold_F02,15,Static Normal-Range,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0
fold_F02,30,Logistic Current,2.2738165371185033e-09,9.444010311561343e-15,4.324931805223335e-06,0.011394416635363,0.6717572877545641,0.9947502499907568,0.2,0.03333333333333333,0.0,0.0
fold_F02,30,Logistic Temporal,1.1471598320568398e-19,2.9224341539071463e-22,0.0019539038999550054,1.0,1.0,1.0,0.0,0.0,0.0,0.0
fold_F02,30,Static Normal-Range,0.07142857142857142,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0
fold_F02,60,Logistic Current,1.2260634915186233e-12,2.4543528350092952e-14,5.253151599135262e-06,0.007320619592378846,0.5089031247714101,0.9829942689457251,0.1,0.03333333333333333,0.0,0.0
fold_F02,60,Logistic Temporal,1.686468204318529e-26,2.1932548347862712e-25,0.0006194514143729927,1.0,1.0,1.0,0.0,0.0,0.0,0.0
fold_F02,60,Static Normal-Range,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0
fold_F02,120,Logistic Current,2.3817107032020732e-14,2.7620826346777957e-15,7.768349946573268e-07,7.859467987828257e-05,0.000419180762572165,0.07877638938284062,0.0,0.0,0.0,0.0
fold_F02,120,Logistic Temporal,1.0431652044682572e-18,1.8299344487727248e-16,0.9796586672959985,1.0,1.0,1.0,0.0,0.0,0.0,0.0
fold_F02,120,Static Normal-Range,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0
fold_F03,15,Logistic Current,0.3333422652727701,6.973514779668274e-09,0.0005286309597837752,0.12577347297664915,0.6374315967799087,0.9932019894449582,0.5333333333333333,0.5333333333333333,0.4,0.06666666666666667
fold_F03,15,Logistic Temporal,1.3778530406919144e-06,1.5192409205489365e-21,8.685121310843115e-13,1.9668601407516714e-06,2.6775122733552014e-05,0.0007153915870571658,0.6666666666666666,0.4666666666666667,0.4,0.3333333333333333
fold_F03,15,Static Normal-Range,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5333333333333333,0.0,0.0,0.0
fold_F03,30,Logistic Current,0.2015016052843324,0.08102663315334854,0.8727781539857675,0.9646829351772405,0.9754189218176599,0.9883703799364458,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
fold_F03,30,Logistic Temporal,5.7382756615241284e-18,4.7275231454423e-15,2.343918562570354e-06,0.0009386522241326047,0.024119227668918664,0.3041429296767544,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.03333333333333333
fold_F03,30,Static Normal-Range,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3,0.0,0.0,0.0
fold_F03,60,Logistic Current,0.35358522791773495,0.5071331371088122,0.9119327603744889,0.9655089232771348,0.9763941967960958,0.9971437101922339,0.1,0.03333333333333333,0.03333333333333333,0.016666666666666666
fold_F03,60,Logistic Temporal,1.6711223447700197e-09,7.022031327298306e-05,0.9663028446666939,0.9999429585412912,0.999986497312055,0.999999299555063,0.0,0.0,0.0,0.0
fold_F03,60,Static Normal-Range,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.18333333333333332,0.016666666666666666,0.016666666666666666,0.016666666666666666
fold_F03,120,Logistic Current,0.541673927995182,0.5947678777101777,0.9194967078328344,0.9706181784651247,0.9770437794122486,0.9953427214683512,0.05,0.016666666666666666,0.016666666666666666,0.008333333333333333
fold_F03,120,Logistic Temporal,1.9640506900066594e-06,0.0011728422373219701,0.9994090037632289,0.9999957237107114,0.9999992844570735,0.9999999246655493,0.0,0.0,0.0,0.0
fold_F03,120,Static Normal-Range,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.10833333333333334,0.008333333333333333,0.008333333333333333,0.008333333333333333
