split,horizon_minutes,model,role,samples,mean,median,p50,p75,p90,p95,p99,max
fold_F02,15,Logistic Current,validation_negative,39760,0.000278770212348753,1.3904421813450923e-13,1.3904421813450923e-13,5.082341920866855e-10,2.2648720141972976e-07,3.026168589401163e-06,0.0001998266346923346,0.8851748751433489
fold_F02,15,Logistic Current,validation_ambiguous,345,2.1923932174531704e-08,2.2402781608993124e-14,2.2402781608993124e-14,1.3019462544193702e-11,1.3363336196698043e-09,7.585905124295235e-09,2.2890860345331694e-08,7.2303650782606625e-06
fold_F02,15,Logistic Current,validation_positive,15,8.679845809261172e-11,4.3438587287702437e-13,4.3438587287702437e-13,2.9911943532333234e-12,2.2386649555340864e-10,5.222625269172977e-10,8.334217163364282e-10,9.112115136912111e-10
fold_F02,15,Logistic Temporal,validation_negative,39760,0.0015502670629168936,2.650319419896265e-28,2.650319419896265e-28,6.929191036389363e-24,1.1743475943790211e-20,1.0147733872046715e-08,0.002515069248056862,0.9878071328234662
fold_F02,15,Logistic Temporal,validation_ambiguous,345,4.121868005362821e-21,1.1299564230184065e-26,1.1299564230184065e-26,5.857389640143673e-25,1.0484906086830113e-22,3.2750852496906263e-21,8.292698539188392e-20,7.171884296596645e-19
fold_F02,15,Logistic Temporal,validation_positive,15,1.9171931778653955e-28,3.6895392336039215e-43,3.6895392336039215e-43,5.30180520528322e-43,2.3718614921030785e-42,8.627369300394246e-28,2.4731791994463525e-27,2.8757897667980858e-27
fold_F02,15,Static Normal-Range,validation_negative,39760,0.03596938775510204,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7142857142857143
fold_F02,15,Static Normal-Range,validation_ambiguous,345,0.010766045548654244,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855
fold_F02,15,Static Normal-Range,validation_positive,15,0.15238095238095234,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.18571428571428555,0.2657142857142856,0.2857142857142857
fold_F02,30,Logistic Current,validation_negative,39760,0.005667086358793959,9.444010311561343e-15,9.444010311561343e-15,4.128773750195844e-11,7.803834137983573e-08,4.324931805223335e-06,0.011394416635363,0.9999999558238508
