model,horizon_minutes,mean_pr_auc,mean_average_precision,mean_precision,mean_recall,mean_f1,events_detected,events_total,median_warning_minutes,mean_false_alarm_episodes_per_day,mean_earliest_warning_360m
Logistic Current,15,0.03339364726511516,0.039988901712940415,0.07777777777777778,0.23333333333333334,0.11666666666666667,1,2,5.0,0.34069400630914826,5.0
Logistic Current,30,0.08952938486948814,0.09375731171851295,0.0026785714285714286,0.2,0.0052863436123348016,1,2,14.0,36.093913639566104,358.0
Logistic Current,60,0.015009349668492648,0.015576307025013832,0.0034076827757125155,0.18333333333333332,0.006690997566909975,1,2,58.0,48.686395978394025,358.0
Logistic Current,120,0.010794896681944484,0.011492625259070027,0.008765243902439025,0.2875,0.017011834319526627,1,2,120.0,53.14826498422713,358.0
Logistic Temporal,15,0.15511872250094624,0.15970842065880714,0.5,0.06666666666666667,0.11764705882352941,0,2,,0.09054325955734406,
Logistic Temporal,30,0.007636459639528855,0.009764612106471981,0.07142857142857142,0.016666666666666666,0.02702702702702703,0,2,,0.38028169014084506,
Logistic Temporal,60,0.003843835271585029,0.003954486905540452,0.00324254215304799,0.041666666666666664,0.006016847172081829,1,2,5.0,7.562789989146234,5.0
Logistic Temporal,120,0.007428123477620281,0.00750391542067502,0.0013850415512465374,0.016666666666666666,0.0025575447570332483,0,2,,8.624459691905376,
Static Normal-Range,15,0.006707933867926724,0.008071938993596015,0.012822545260723111,0.7666666666666666,0.02474008402337751,2,2,9.5,4.933550831804708,59.5
Static Normal-Range,30,0.008019306357033755,0.006376220652224405,0.014180483979386064,0.4,0.026415449673851635,2,2,9.5,4.933550831804708,59.5
Static Normal-Range,60,0.010947270685243354,0.007433473022133627,0.016985484861086357,0.22499999999999998,0.02960304390276608,2,2,9.5,4.933550831804708,59.5
Static Normal-Range,120,0.015143137687877586,0.011723512496053228,0.020429274371345497,0.15000000000000002,0.03186930591833465,2,2,59.5,4.933550831804708,59.5
