model,horizon_minutes,threshold_quantile,events_detected,median_warning_minutes,mean_false_alarms_per_day,worst_false_alarms_per_day,mean_earliest_warning_360m,events_total
Isolation Forest Temporal,15,0.99,1,8.0,0.625519679591746,0.7967806841046278,8.0,2
Isolation Forest Temporal,15,0.995,1,5.0,1.6396041866339994,2.8249496981891347,5.0,2
Isolation Forest Temporal,15,0.999,0,,0.2716297786720322,0.5432595573440644,,2
Isolation Forest Temporal,15,0.9995,0,,0.018108651911468814,0.03621730382293763,,2
Isolation Forest Temporal,30,0.99,1,8.0,0.625519679591746,0.7967806841046278,8.0,2
Isolation Forest Temporal,30,0.995,1,5.0,1.6396041866339994,2.8249496981891347,5.0,2
Isolation Forest Temporal,30,0.999,0,,0.2716297786720322,0.5432595573440644,,2
Isolation Forest Temporal,30,0.9995,0,,0.018108651911468814,0.03621730382293763,,2
Isolation Forest Temporal,60,0.99,1,8.0,0.625519679591746,0.7967806841046278,8.0,2
Isolation Forest Temporal,60,0.995,1,5.0,1.6396041866339994,2.8249496981891347,5.0,2
Isolation Forest Temporal,60,0.999,0,,0.2716297786720322,0.5432595573440644,,2
Isolation Forest Temporal,60,0.9995,0,,0.018108651911468814,0.03621730382293763,,2
Isolation Forest Temporal,120,0.99,1,8.0,0.625519679591746,0.7967806841046278,8.0,2
Isolation Forest Temporal,120,0.995,1,5.0,1.6396041866339994,2.8249496981891347,5.0,2
Isolation Forest Temporal,120,0.999,0,,0.2716297786720322,0.5432595573440644,,2
Isolation Forest Temporal,120,0.9995,0,,0.018108651911468814,0.03621730382293763,,2
LightGBM Current,15,0.99,1,7.0,1.2857142857142858,2.5714285714285716,7.0,2
LightGBM Current,15,0.995,0,,0.0,0.0,,2
LightGBM Current,15,0.999,0,,0.0,0.0,,2
LightGBM Current,15,0.9995,0,,0.0,0.0,,2
LightGBM Current,30,0.99,0,,13.454956870560904,26.801261829652997,142.0,2
LightGBM Current,30,0.995,0,,5.791798107255521,11.583596214511042,,2
LightGBM Current,30,0.999,0,,0.0,0.0,,2
LightGBM Current,30,0.9995,0,,0.0,0.0,,2
LightGBM Current,60,0.99,1,22.0,15.839814914724942,31.57097791798107,144.0,2
LightGBM Current,60,0.995,1,6.0,4.883280757097792,9.766561514195583,6.0,2
LightGBM Current,60,0.999,0,,0.0,0.0,,2
LightGBM Current,60,0.9995,0,,0.0,0.0,,2
LightGBM Current,120,0.99,1,112.0,17.42972027750097,34.75078864353313,112.0,2
LightGBM Current,120,0.995,0,,4.542586750788644,9.085173501577287,,2
LightGBM Current,120,0.999,0,,0.0,0.0,,2
LightGBM Current,120,0.9995,0,,0.0,0.0,,2
LightGBM Temporal,15,0.99,1,7.0,1.9011228252797543,2.498422712933754,7.0,2
LightGBM Temporal,15,0.995,1,7.0,1.0435610508476727,1.362776025236593,7.0,2
LightGBM Temporal,15,0.999,0,,0.07243460764587525,0.1448692152917505,,2
LightGBM Temporal,15,0.9995,0,,0.6519114688128773,1.3038229376257546,,2
LightGBM Temporal,30,0.99,2,18.5,1.1835175088385201,1.2313883299798793,183.5,2
LightGBM Temporal,30,0.995,1,7.0,1.6626255958463716,2.643863179074447,7.0,2
LightGBM Temporal,30,0.999,0,,0.7934103040958687,0.9054325955734407,,2
LightGBM Temporal,30,0.9995,0,,0.625519679591746,0.7967806841046278,,2
LightGBM Temporal,60,0.99,2,33.5,5.739300154237729,9.993690851735016,183.5,2
LightGBM Temporal,60,0.995,1,7.0,4.022634228081422,6.813880126182966,7.0,2
LightGBM Temporal,60,0.999,0,,2.6779668547562983,4.0883280757097795,,2
LightGBM Temporal,60,0.9995,0,,2.4146202133939285,3.634069400630915,,2
LightGBM Temporal,120,0.99,2,107.0,8.487873613923288,15.67192429022082,271.0,2
LightGBM Temporal,120,0.995,1,7.0,4.503284692381418,7.26813880126183,182.0,2
LightGBM Temporal,120,0.999,0,,2.651575065535167,4.542586750788644,181.0,2
LightGBM Temporal,120,0.9995,0,,2.4293584852966377,4.315457413249211,181.0,2
Random Forest Temporal,15,0.99,2,11.0,2.319164196535681,3.406940063091483,183.5,2
Random Forest Temporal,15,0.995,2,10.5,0.6156941649899397,1.2313883299798793,183.0,2
Random Forest Temporal,15,0.999,0,,0.3440643863179074,0.6881287726358148,,2
Random Forest Temporal,15,0.9995,0,,0.5070422535211268,1.0140845070422535,,2
Random Forest Temporal,30,0.99,2,18.0,3.7955048905419906,6.359621451104101,183.0,2
Random Forest Temporal,30,0.995,1,30.0,1.069952840068804,1.2313883299798793,360.0,2
Random Forest Temporal,30,0.999,0,,0.19919517102615694,0.3983903420523139,,2
Random Forest Temporal,30,0.9995,0,,0.5251509054325956,1.0503018108651911,,2
Random Forest Temporal,60,0.99,2,30.5,10.155126341646092,19.078864353312305,228.0,2
Random Forest Temporal,60,0.995,1,60.0,5.271845584548299,9.31230283911672,360.0,2
Random Forest Temporal,60,0.999,0,,0.3983903420523139,0.7967806841046278,,2
Random Forest Temporal,60,0.9995,0,,0.2716297786720322,0.5432595573440644,,2
Random Forest Temporal,120,0.99,2,107.0,11.517902366882684,21.80441640378549,271.0,2
Random Forest Temporal,120,0.995,2,107.0,6.0667982659363116,10.902208201892744,270.5,2
Random Forest Temporal,120,0.999,0,,0.5266932827247396,0.9085173501577287,,2
Random Forest Temporal,120,0.9995,0,,0.09054325955734406,0.18108651911468812,,2
