model,horizon_minutes,mean_pr_auc,mean_average_precision,mean_roc_auc,mean_ap_lift,minimum_event_pr_auc,maximum_event_pr_auc
Isolation Forest Temporal,15,0.011086134767408995,0.012456374895227213,0.8503232089699078,7.020780717480726,0.0014510582555102708,0.02072121127930772
Isolation Forest Temporal,30,0.00767535319540131,0.008418830791704126,0.660342609018993,2.564705244069156,0.0013242638791790625,0.014026442511623558
Isolation Forest Temporal,60,0.0075942227707898645,0.008023319340329627,0.5577357335389836,1.3652590518795023,0.0017783427103757361,0.013410102831203993
Isolation Forest Temporal,120,0.01173198991276147,0.012012303843127242,0.5454901322366374,1.0848601771298312,0.0031056206604128216,0.02035835916511012
LightGBM Current,15,0.1052669911465632,0.10830367298791732,0.6771484942779706,46.333517923641146,0.00039683520937151785,0.2101371470837549
LightGBM Current,30,0.003638726926641847,0.003945301290107866,0.5586819351968806,1.2490472965223423,0.0005767351075524149,0.006700718745731279
LightGBM Current,60,0.007626408672848095,0.008204906147518795,0.5439339368228298,1.285935549542689,0.0009523350351384833,0.014300482310557708
LightGBM Current,120,0.015139745330109004,0.01581943238297995,0.5495211208761507,1.2441245569032804,0.0022084110990532274,0.02807107956116478
LightGBM Temporal,15,0.07525169310682084,0.09259466119016808,0.6004583375648211,39.633019021279964,0.0002532539391064378,0.15025013227453524
LightGBM Temporal,30,0.012302924061683476,0.014242984343684895,0.45043477743432203,3.4442151048122343,0.0003769791404875597,0.024228868982879393
LightGBM Temporal,60,0.004950114711842873,0.0057039060074396,0.43075251588394725,1.0286037258870997,0.0007543753771876886,0.009145854046498057
LightGBM Temporal,120,0.009650737311810445,0.010598190280594427,0.4910080798936627,0.9896900765629665,0.0015050418903326142,0.017796432733288275
Random Forest Temporal,15,0.04905129678522798,0.05491298421668151,0.6350792372531721,23.684914116192942,0.00018856065367693276,0.09791403291677903
Random Forest Temporal,30,0.005138033654689911,0.005034514542531948,0.5328465152111407,1.488950017034092,0.0003769791404875597,0.009899088168892262
Random Forest Temporal,60,0.0033430094475921145,0.004896639929614852,0.40445043288119886,0.9419466318359642,0.0007533902561526871,0.005932628639031542
Random Forest Temporal,120,0.008282624904564119,0.00942667690835268,0.4463383825561148,0.9264764612961756,0.0015045135406218655,0.015060736268506373
