candidate,threshold_quantile,events_detected,median_detection_delay_minutes,mean_false_alarms_per_day,worst_false_alarms_per_day,events_total
Isolation Forest Current,0.99,0,,2.2684221395841258,4.309750760795755,2
Isolation Forest Current,0.995,0,,4.527049118482935,9.05409823696587,2
Isolation Forest Current,0.999,0,,0.4708131083222253,0.9416262166444506,2
Isolation Forest Current,0.9995,0,,0.4345967153743618,0.8691934307487236,2
LGBM_IF_80_20,0.99,2,1.0,1.1422985027543993,1.3762229320188124,2
LGBM_IF_80_20,0.995,2,49.0,2.5894720957722392,5.1789441915444785,2
LGBM_IF_80_20,0.999,1,23.0,0.03621639294786348,0.07243278589572696,2
LGBM_IF_80_20,0.9995,0,,0.7243278589572697,1.4486557179145394,2
LGBM_XGB_50_50,0.99,2,1.0,3.139097695229548,5.142727798596614,2
LGBM_XGB_50_50,0.995,2,1.0,0.3768566705066082,0.6812805551174894,2
LGBM_XGB_50_50,0.999,1,1.0,0.03621639294786348,0.07243278589572696,2
LGBM_XGB_50_50,0.9995,1,1.0,0.03621639294786348,0.07243278589572696,2
LGBM_XGB_IF_40_40_20,0.99,2,1.0,1.0468599400420826,1.4124393249666758,2
LGBM_XGB_IF_40_40_20,0.995,2,49.0,2.4989311134025805,4.997862226805161,2
LGBM_XGB_IF_40_40_20,0.999,1,23.0,0.03621639294786348,0.07243278589572696,2
LGBM_XGB_IF_40_40_20,0.9995,0,,0.7424360554312014,1.4848721108624028,2
LightGBM Current,0.99,2,1.0,0.8804707163307386,1.3625611102349788,2
LightGBM Current,0.995,2,1.0,0.39496486698053995,0.6812805551174894,2
LightGBM Current,0.999,2,1.0,0.03621639294786348,0.07243278589572696,2
LightGBM Current,0.9995,2,1.0,0.03621639294786348,0.07243278589572696,2
MAX_LGBM_IF,0.99,2,1.0,2.839571390961325,4.997862226805161,2
MAX_LGBM_IF,0.995,2,1.0,0.8510852342747919,1.7021704685495838,2
MAX_LGBM_IF,0.999,2,1.0,0.03621639294786348,0.07243278589572696,2
MAX_LGBM_IF,0.9995,2,1.0,0.03621639294786348,0.07243278589572696,2
Random Forest Current,0.99,2,1.0,3.743047884108653,5.215160584492342,2
Random Forest Current,0.995,2,1.0,0.49040342969285644,0.9083740734899859,2
Random Forest Current,0.999,1,1.0,0.01810819647393174,0.03621639294786348,2
Random Forest Current,0.9995,1,1.0,0.01810819647393174,0.03621639294786348,2
XGBoost Current,0.99,2,1.0,2.989334543095437,5.070295012700888,2
XGBoost Current,0.995,2,1.0,0.3768566705066082,0.6812805551174894,2
XGBoost Current,0.999,1,1.0,0.03621639294786348,0.07243278589572696,2
XGBoost Current,0.9995,1,1.0,0.03621639294786348,0.07243278589572696,2
