candidate,threshold_quantile,events_detected,median_detection_delay_minutes,mean_false_alarms_per_day,worst_false_alarms_per_day,events_total,mean_pr_auc,minimum_event_pr_auc
LightGBM Current,0.999,2,1.0,0.03621639294786348,0.07243278589572696,2,0.7792100306267341,0.572503946216476
LightGBM Current,0.9995,2,1.0,0.03621639294786348,0.07243278589572696,2,0.7792100306267341,0.572503946216476
MAX_LGBM_IF,0.999,2,1.0,0.03621639294786348,0.07243278589572696,2,0.772041424203074,0.5724492366895917
MAX_LGBM_IF,0.9995,2,1.0,0.03621639294786348,0.07243278589572696,2,0.772041424203074,0.5724492366895917
LightGBM Current,0.995,2,1.0,0.39496486698053995,0.6812805551174894,2,0.7792100306267341,0.572503946216476
LGBM_XGB_50_50,0.995,2,1.0,0.3768566705066082,0.6812805551174894,2,0.7807866753344083,0.5724255234977389
XGBoost Current,0.995,2,1.0,0.3768566705066082,0.6812805551174894,2,0.7810201601059099,0.5724046928179308
Random Forest Current,0.995,2,1.0,0.49040342969285644,0.9083740734899859,2,0.7907256201634436,0.6055520197735886
LightGBM Current,0.99,2,1.0,0.8804707163307386,1.3625611102349788,2,0.7792100306267341,0.572503946216476
LGBM_IF_80_20,0.99,2,1.0,1.1422985027543993,1.3762229320188124,2,0.5258437172745388,0.07973906570001961
LGBM_XGB_IF_40_40_20,0.99,2,1.0,1.0468599400420826,1.4124393249666758,2,0.5273797042359312,0.07893119512080007
MAX_LGBM_IF,0.995,2,1.0,0.8510852342747919,1.7021704685495838,2,0.772041424203074,0.5724492366895917
MAX_LGBM_IF,0.99,2,1.0,2.839571390961325,4.997862226805161,2,0.772041424203074,0.5724492366895917
XGBoost Current,0.99,2,1.0,2.989334543095437,5.070295012700888,2,0.7810201601059099,0.5724046928179308
LGBM_XGB_50_50,0.99,2,1.0,3.139097695229548,5.142727798596614,2,0.7807866753344083,0.5724255234977389
Random Forest Current,0.99,2,1.0,3.743047884108653,5.215160584492342,2,0.7907256201634436,0.6055520197735886
