model,threshold_quantile,events_detected,median_detection_delay_minutes,mean_false_alarms_per_day,worst_false_alarms_per_day,mean_pre_event_warning_minutes,events_total
Isolation Forest Temporal,0.99,2,2.0,0.534932858429336,0.6156786801136792,8.0,2
Isolation Forest Temporal,0.995,1,1.0,2.4544016846661005,4.454616332587208,2.0,2
Isolation Forest Temporal,0.999,1,389.0,0.25841233097770216,0.28973114358290786,,2
Isolation Forest Temporal,0.9995,0,,0.01810819647393174,0.03621639294786348,,2
LightGBM Current,0.99,2,1.0,0.8804707163307386,1.3625611102349788,9.0,2
LightGBM Current,0.995,2,1.0,0.39496486698053995,0.6812805551174894,9.0,2
LightGBM Current,0.999,2,1.0,0.03621639294786348,0.07243278589572696,7.5,2
LightGBM Current,0.9995,2,1.0,0.03621639294786348,0.07243278589572696,7.5,2
LightGBM Temporal,0.99,2,1.0,0.8525673591714913,0.9083740734899859,8.0,2
LightGBM Temporal,0.995,2,1.0,1.35959686044158,1.8108196473931741,6.5,2
LightGBM Temporal,0.999,2,7.0,0.7967606448529967,1.5935212897059934,,2
LightGBM Temporal,0.9995,2,9.5,0.4708131083222253,0.9416262166444506,,2
