feature,gain,split
DV_pressure_mean,2268249.298008675,291
DV_pressure_max,601669.432765617,582
DV_pressure_min,74667.80983130774,223
Oil_temperature_mean,49994.151618208736,257
Oil_temperature_min,37900.53951603547,385
TP2_max,22699.63385516312,264
TP2_x_COMP0,18755.150416314602,194
H1_minus_TP3_mean,7140.866115450859,227
Oil_temperature_max,5398.20879874751,273
Motor_current_x_COMP1,4827.802216738462,124
H1_std,4477.636942327023,64
TP3_max,4385.4237196445465,51
H1_mean,3162.3623928278685,163
TP2_mean,2493.1913804512005,101
Reservoirs_max,2464.0358962118626,70
Reservoirs_min,2418.005404867232,60
TP3_mean,1819.2134491279721,38
Motor_current_max,1706.774764150381,115
Motor_current_min,1580.7603846490383,53
TP3_minus_Reservoirs_mean,1410.0697691515088,166
Oil_temperature_last,1140.7864327728748,65
Reservoirs_std,1034.7897361516953,71
Reservoirs_last,997.506317794323,38
H1_last,970.8830618858337,30
COMP_mean,944.2516708076,69
DV_pressure_last,938.937637411058,112
H1_min,866.8720405101776,24
Reservoirs_mean,832.8008316755295,21
TP2_min,701.6263399720192,37
TP3_last,635.5961130261421,28
DV_pressure_std,506.1689968854189,17
TP3_std,479.8822506573051,65
TP2_std,428.5789940804243,26
TP3_min,408.6946152076125,46
Motor_current_x_COMP0,333.4753482490778,77
H1_x_COMP1,310.09680020809174,5
TP2_last,293.15484672784805,44
Towers_mean,204.61319661140442,9
H1_max,177.52134954929352,13
TP3_Reservoir_abs_diff_mean,175.40535137057304,19
COMP_transition_sum,149.68162301182747,69
TP2_minus_H1_mean,142.68256163597107,15
Oil_level_mean,128.7310028076172,1
Oil_temperature_std,126.19912159442902,32
MPG_mean,107.52507162094116,2
Motor_current_mean,74.04310599714518,21
TP3_Reservoir_abs_diff_max,62.03732633590698,13
COMP_DV_equal_mean,44.58768022060394,14
Pressure_switch_transition_sum,38.451642990112305,24
Towers_transition_sum,34.021697759628296,14
Motor_current_last,16.348758950829506,17
Motor_current_std,15.30919087678194,21
Pressure_switch_mean,15.00220012664795,1
MPG_transition_sum,7.865489959716797,3
COMP_last,3.3680059909820557,14
TP2_minus_TP3_mean,2.838902000337839,4
Towers_last,1.2349988371133804,6
DV_eletric_mean,0.0,0
LPS_transition_sum,0.0,0
LPS_mean,0.0,0
DV_eletric_transition_sum,0.0,0
DV_eletric_last,0.0,0
MPG_last,0.0,0
Oil_level_last,0.0,0
Pressure_switch_last,0.0,0
LPS_last,0.0,0
COMP_MPG_mismatch_mean,0.0,0
Oil_level_transition_sum,0.0,0
Caudal_impulses_mean,0.0,0
Caudal_impulses_last,0.0,0
Caudal_impulses_transition_sum,0.0,0
