sensor,state,runs,median_duration_s,mean_duration_s,p95_duration_s,max_duration_s
COMP,0,16967,119.0,147.01220015323864,178.0,223384.0
COMP,1,17055,763.0,740.3356200527704,1874.0,2735.0
DV_eletric,0,15856,833.0,799.5081357214934,1893.0,102894.0
DV_eletric,1,15765,129.0,155.37481763399936,178.0,108417.0
Towers,0,32296,40.0,37.47742754520684,60.0,70.0
Towers,1,32554,60.0,426.89651041346684,1685.0,2795.0
MPG,0,15550,129.0,165.64623794212218,178.0,223384.0
MPG,1,15637,843.0,802.6918846326022,1893.0,2735.0
LPS,0,350,16927.5,43129.20857142857,153944.35,362682.0
LPS,1,137,218.0,375.4890510948905,1606.399999999996,5117.0
Pressure_switch,0,11814,10.0,11.18384966988319,22.0,46.0
Pressure_switch,1,12141,57.0,1233.1650605386706,7433.0,72113.0
Oil_level,0,7676,10.0,190.3658155289213,22.0,169202.0
Oil_level,1,7971,46.0,1712.3306987830888,93.0,362801.0
Caudal_impulses,0,7661,10.0,126.06213288082496,22.0,147038.0
Caudal_impulses,1,7956,46.0,1777.836852689794,93.0,362801.0
