event_id,sensor,period,n,mean,median,std,q25,q75,baseline_median,baseline_iqr,robust_median_shift_vs_baseline
F01,TP2,baseline_24h_to_2h,5704,0.2162906732117811,-0.0180000000000006,1.4415300686476602,-0.0180000000000006,-0.0159999999999982,-0.0180000000000006,0.002000000000002399,
F01,TP2,pre_120_to_60m,299,-0.0180000000000006,-0.0180000000000006,0.0,-0.0180000000000006,-0.0180000000000006,-0.0180000000000006,0.002000000000002399,0.0
F01,TP2,pre_60m,298,-0.0180000000000006,-0.0180000000000006,0.0,-0.0180000000000006,-0.0180000000000006,-0.0180000000000006,0.002000000000002399,0.0
F01,TP2,failure,8657,8.518244426475686,8.932,1.1324217230047666,8.504,9.026,-0.0180000000000006,0.002000000000002399,4474.999999994632
F01,TP3,baseline_24h_to_2h,5704,8.491204768583453,8.248,0.49851582226120483,8.248,8.516,8.248,0.2680000000000007,
F01,TP3,pre_120_to_60m,299,8.248,8.248,0.0,8.248,8.248,8.248,0.2680000000000007,0.0
F01,TP3,pre_60m,298,8.248,8.248,0.0,8.248,8.248,8.248,0.2680000000000007,0.0
F01,TP3,failure,8657,8.811900889453621,8.834,0.11415678921321071,8.756,8.886,8.248,0.2680000000000007,2.1865671641791002
F01,H1,baseline_24h_to_2h,5704,8.248881136044881,8.238,1.433052694965969,8.238,8.4085,8.238,0.17050000000000054,
F01,H1,pre_120_to_60m,299,8.238000000000001,8.238,1.7793348076927175e-15,8.238,8.238,8.238,0.17050000000000054,0.0
F01,H1,pre_60m,298,8.238,8.238,0.0,8.238,8.238,8.238,0.17050000000000054,0.0
F01,H1,failure,8657,0.07926648954603273,-0.0079999999999991,0.8409710583352777,-0.009999999999998,-0.0060000000000002,8.238,0.17050000000000054,-48.3636363636362
F01,DV_pressure,baseline_24h_to_2h,5704,-0.022146914446003498,-0.0240000000000009,0.0861358766645049,-0.0240000000000009,-0.0240000000000009,-0.0240000000000009,0.0,
F01,DV_pressure,pre_120_to_60m,299,-0.024000000000000903,-0.0240000000000009,3.475263296274839e-18,-0.0240000000000009,-0.0240000000000009,-0.0240000000000009,0.0,
F01,DV_pressure,pre_60m,298,-0.024000000000000903,-0.0240000000000009,3.475282863482662e-18,-0.0240000000000009,-0.0240000000000009,-0.0240000000000009,0.0,
F01,DV_pressure,failure,8657,1.8793734550075085,2.0,0.28517335779296127,1.8680000000000003,2.0180000000000007,-0.0240000000000009,0.0,
F01,Reservoirs,baseline_24h_to_2h,5704,8.491179172510519,8.248,0.4982513206732504,8.248,8.515,8.248,0.26700000000000124,
F01,Reservoirs,pre_120_to_60m,299,8.248,8.248,0.0,8.248,8.248,8.248,0.26700000000000124,0.0
F01,Reservoirs,pre_60m,298,8.248,8.248,0.0,8.248,8.248,8.248,0.26700000000000124,0.0
F01,Reservoirs,failure,8657,8.812989950329214,8.836,0.11423759985090225,8.758,8.886,8.248,0.26700000000000124,2.2022471910112293
F01,Oil_temperature,baseline_24h_to_2h,5704,50.556355189340806,49.45,3.5020180518706616,49.45,49.45,49.45,0.0,
F01,Oil_temperature,pre_120_to_60m,299,49.449999999999996,49.45,7.11733923077087e-15,49.45,49.45,49.45,0.0,
F01,Oil_temperature,pre_60m,298,49.449999999999996,49.45,7.117379304412493e-15,49.45,49.45,49.45,0.0,
F01,Oil_temperature,failure,8657,74.13112510107426,74.22500000000001,2.809355648184241,73.52499999999999,75.2,49.45,0.0,
F01,Motor_current,baseline_24h_to_2h,5704,0.49418478260869547,0.04,1.3612614504877825,0.04,0.0424999999999995,0.04,0.0024999999999995026,
F01,Motor_current,pre_120_to_60m,299,0.039999999999999994,0.04,6.950526592549678e-18,0.04,0.04,0.04,0.0024999999999995026,0.0
F01,Motor_current,pre_60m,298,0.04,0.04,0.0,0.04,0.04,0.04,0.0024999999999995026,0.0
