feature,family
TP2_mean,analogue
TP2_std,analogue
TP2_min,analogue
TP2_max,analogue
TP2_last,analogue
TP3_mean,analogue
TP3_std,analogue
TP3_min,analogue
TP3_max,analogue
TP3_last,analogue
H1_mean,analogue
H1_std,analogue
H1_min,analogue
H1_max,analogue
H1_last,analogue
DV_pressure_mean,analogue
DV_pressure_std,analogue
DV_pressure_min,analogue
DV_pressure_max,analogue
DV_pressure_last,analogue
Reservoirs_mean,analogue
Reservoirs_std,analogue
Reservoirs_min,analogue
Reservoirs_max,analogue
Reservoirs_last,analogue
Oil_temperature_mean,analogue
Oil_temperature_std,analogue
Oil_temperature_min,analogue
Oil_temperature_max,analogue
Oil_temperature_last,analogue
Motor_current_mean,analogue
Motor_current_std,analogue
Motor_current_min,analogue
Motor_current_max,analogue
Motor_current_last,analogue
COMP_mean,digital
COMP_last,digital
COMP_transition_sum,digital
DV_eletric_mean,digital
DV_eletric_last,digital
DV_eletric_transition_sum,digital
Towers_mean,digital
Towers_last,digital
Towers_transition_sum,digital
MPG_mean,digital
MPG_last,digital
MPG_transition_sum,digital
LPS_mean,digital
LPS_last,digital
LPS_transition_sum,digital
Pressure_switch_mean,digital
Pressure_switch_last,digital
Pressure_switch_transition_sum,digital
Oil_level_mean,digital
Oil_level_last,digital
Oil_level_transition_sum,digital
Caudal_impulses_mean,digital
Caudal_impulses_last,digital
Caudal_impulses_transition_sum,digital
COMP_MPG_mismatch_mean,state_consistency
COMP_DV_equal_mean,state_consistency
TP3_Reservoir_abs_diff_mean,pressure_relationship
TP3_Reservoir_abs_diff_max,pressure_relationship
TP3_minus_Reservoirs_mean,analogue
TP2_minus_TP3_mean,analogue
H1_minus_TP3_mean,analogue
TP2_minus_H1_mean,analogue
TP2_mean_5m,analogue
TP2_std_5m,analogue
TP2_mean_15m,analogue
TP2_std_15m,analogue
TP2_mean_30m,analogue
TP2_std_30m,analogue
TP2_mean_60m,analogue
TP2_std_60m,analogue
TP2_mean_120m,analogue
TP2_std_120m,analogue
TP2_delta_15m,analogue_trend
TP2_delta_60m,analogue_trend
TP2_minute_volatility_15m,analogue_volatility
TP2_minute_volatility_60m,analogue_volatility
TP3_mean_5m,analogue
TP3_std_5m,analogue
TP3_mean_15m,analogue
TP3_std_15m,analogue
TP3_mean_30m,analogue
TP3_std_30m,analogue
TP3_mean_60m,analogue
TP3_std_60m,analogue
TP3_mean_120m,analogue
TP3_std_120m,analogue
TP3_delta_15m,analogue_trend
TP3_delta_60m,analogue_trend
TP3_minute_volatility_15m,analogue_volatility
TP3_minute_volatility_60m,analogue_volatility
H1_mean_5m,analogue
H1_std_5m,analogue
H1_mean_15m,analogue
H1_std_15m,analogue
H1_mean_30m,analogue
