COMP,DV_eletric,Towers,MPG,LPS,Pressure_switch,Oil_level,Caudal_impulses,count,fraction
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1083364,0.7141734588133541
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,112058,0.07387069299672765
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,108507,0.07152980853661431
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,93842,0.061862371023924355
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,66230,0.04366003317186878
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10226,0.006741167132953799
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8150,0.005372629780322068
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8124,0.005355490102495274
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6499,0.004284260238320628
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5974,0.0039381705898949735
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5965,0.003932237624493391
0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2599,0.001713308564301479
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2507,0.0016526604735297452
1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1068,0.0007040452276544746
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,558,0.0003678438548981244
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,418,0.0002755532819846165
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,200,0.0001318436755907256
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,160,0.00010547494047258047
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,143,9.426822804736879e-05
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,114,7.515089508671358e-05
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,55,3.6257010787449535e-05
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,34,2.241342485042335e-05
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,34,2.241342485042335e-05
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30,1.977655133860884e-05
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,21,1.3843585937026186e-05
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,19,1.2525149181118931e-05
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9,5.932965401582652e-06
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8,5.273747023629024e-06
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,8,5.273747023629024e-06
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,8,5.273747023629024e-06
0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6,3.955310267721768e-06
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3,1.977655133860884e-06
1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2,1.318436755907256e-06
1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2,1.318436755907256e-06
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2,1.318436755907256e-06
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,6.59218377953628e-07
