,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,unique_values,missing_values
TP2,1516948.0,1.3678259663482208,3.2509296807037575,-0.032,-0.0240000000000009,-0.0159999999999982,-0.0139999999999993,-0.0120000000000004,-0.009999999999998,9.59,10.352,10.676,5257,0
TP3,1516948.0,8.984610701223774,0.6390950863089508,0.7300000000000004,7.875999999999999,8.138,8.492,8.96,9.492,9.98,10.14,10.302,3683,0
H1,1516948.0,7.5681549004975786,3.3331995652894286,-0.0360000000000013,-0.0240000000000009,-0.0139999999999993,8.254,8.784,9.374,9.916,10.114,10.288,2665,0
DV_pressure,1516948.0,0.055956189665038424,0.3824015460354256,-0.032,-0.0259999999999998,-0.0240000000000009,-0.0219999999999984,-0.0199999999999995,-0.0180000000000006,-0.0079999999999991,2.112,9.844,2257,0
Reservoirs,1516948.0,8.985233443730436,0.6383070418596231,0.7119999999999997,7.875999999999999,8.14,8.494,8.96,9.492,9.978,10.138,10.3,3682,0
Oil_temperature,1516948.0,62.644181738596174,6.51626108944493,15.400000000000006,48.825,52.325,57.775000000000006,62.7,67.25000000000001,73.52499999999999,76.175,89.05000000000001,2462,0
Motor_current,1516948.0,2.050170803481728,2.302053413886757,0.0199999999999995,0.0349999999999992,0.0375000000000005,0.04,0.0449999999999999,3.807500000000001,5.987499999999999,6.1875,9.295,1809,0
COMP,1516948.0,0.8369568370174851,0.36940517043516113,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
DV_eletric,1516948.0,0.160610647167866,0.36717156215682323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0
Towers,1516948.0,0.9198482742981302,0.2715280375419611,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
MPG,1516948.0,0.8326640069402511,0.37327570285043293,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
LPS,1516948.0,0.0034200249448234216,0.058380909731130345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0
Pressure_switch,1516948.0,0.9914367532703824,0.09214077887547226,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
Oil_level,1516948.0,0.904155580810944,0.2943778585867626,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
Caudal_impulses,1516948.0,0.9371066114329561,0.2427711867057373,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
