split,split_type,horizon_minutes,role,rows
fold_F02,development,15,train_negative,83635
fold_F02,development,15,validation_negative,39760
fold_F02,development,15,train_ineligible,9209
fold_F02,development,15,validation_ineligible,4801
fold_F02,development,15,train_failure,1436
fold_F02,development,15,train_ambiguous,345
fold_F02,development,15,validation_ambiguous,345
fold_F02,development,15,train_recovery,335
fold_F02,development,15,train_positive,15
fold_F02,development,15,validation_positive,15
fold_F02,development,30,train_negative,83635
fold_F02,development,30,validation_negative,39760
fold_F02,development,30,train_ineligible,9209
fold_F02,development,30,validation_ineligible,4801
fold_F02,development,30,train_failure,1436
fold_F02,development,30,train_recovery,335
fold_F02,development,30,train_ambiguous,330
fold_F02,development,30,validation_ambiguous,330
fold_F02,development,30,train_positive,30
fold_F02,development,30,validation_positive,30
fold_F02,development,60,train_negative,83635
fold_F02,development,60,validation_negative,39760
fold_F02,development,60,train_ineligible,9209
fold_F02,development,60,validation_ineligible,4801
fold_F02,development,60,train_failure,1436
fold_F02,development,60,train_recovery,335
fold_F02,development,60,train_ambiguous,300
fold_F02,development,60,validation_ambiguous,300
fold_F02,development,60,train_positive,60
fold_F02,development,60,validation_positive,60
fold_F02,development,120,train_negative,83635
fold_F02,development,120,validation_negative,39760
fold_F02,development,120,train_ineligible,9209
fold_F02,development,120,validation_ineligible,4801
fold_F02,development,120,train_failure,1436
fold_F02,development,120,train_recovery,335
fold_F02,development,120,train_ambiguous,240
fold_F02,development,120,validation_ambiguous,240
fold_F02,development,120,train_positive,120
fold_F02,development,120,validation_positive,120
fold_F03,development,15,train_negative,123394
fold_F03,development,15,train_ineligible,14010
fold_F03,development,15,validation_negative,6340
fold_F03,development,15,train_failure,1827
fold_F03,development,15,validation_ineligible,847
fold_F03,development,15,train_ambiguous,690
fold_F03,development,15,train_recovery,679
fold_F03,development,15,validation_ambiguous,345
fold_F03,development,15,train_positive,30
fold_F03,development,15,validation_positive,15
fold_F03,development,30,train_negative,123394
fold_F03,development,30,train_ineligible,14010
fold_F03,development,30,validation_negative,6340
fold_F03,development,30,train_failure,1827
fold_F03,development,30,validation_ineligible,847
fold_F03,development,30,train_recovery,679
fold_F03,development,30,train_ambiguous,660
fold_F03,development,30,validation_ambiguous,330
fold_F03,development,30,train_positive,60
fold_F03,development,30,validation_positive,30
fold_F03,development,60,train_negative,123394
fold_F03,development,60,train_ineligible,14010
fold_F03,development,60,validation_negative,6340
fold_F03,development,60,train_failure,1827
fold_F03,development,60,validation_ineligible,847
fold_F03,development,60,train_recovery,679
fold_F03,development,60,train_ambiguous,600
fold_F03,development,60,validation_ambiguous,300
fold_F03,development,60,train_positive,120
fold_F03,development,60,validation_positive,60
fold_F03,development,120,train_negative,123394
fold_F03,development,120,train_ineligible,14010
fold_F03,development,120,validation_negative,6340
fold_F03,development,120,train_failure,1827
fold_F03,development,120,validation_ineligible,847
fold_F03,development,120,train_recovery,679
fold_F03,development,120,train_ambiguous,480
fold_F03,development,120,train_positive,240
fold_F03,development,120,validation_ambiguous,240
fold_F03,development,120,validation_positive,120
final_F04,final_holdout,15,train_negative,129733
final_F04,final_holdout,15,holdout_negative,39154
final_F04,final_holdout,15,train_ineligible,14857
final_F04,final_holdout,15,holdout_ineligible,4807
final_F04,final_holdout,15,train_failure,4691
final_F04,final_holdout,15,train_ambiguous,1035
final_F04,final_holdout,15,train_recovery,680
final_F04,final_holdout,15,holdout_ambiguous,345
final_F04,final_holdout,15,train_positive,45
final_F04,final_holdout,15,holdout_positive,15
final_F04,final_holdout,30,train_negative,129733
final_F04,final_holdout,30,holdout_negative,39154
final_F04,final_holdout,30,train_ineligible,14857
final_F04,final_holdout,30,holdout_ineligible,4807
final_F04,final_holdout,30,train_failure,4691
final_F04,final_holdout,30,train_ambiguous,990
final_F04,final_holdout,30,train_recovery,680
final_F04,final_holdout,30,holdout_ambiguous,330
final_F04,final_holdout,30,train_positive,90
final_F04,final_holdout,30,holdout_positive,30
final_F04,final_holdout,60,train_negative,129733
final_F04,final_holdout,60,holdout_negative,39154
final_F04,final_holdout,60,train_ineligible,14857
final_F04,final_holdout,60,holdout_ineligible,4807
final_F04,final_holdout,60,train_failure,4691
final_F04,final_holdout,60,train_ambiguous,900
final_F04,final_holdout,60,train_recovery,680
final_F04,final_holdout,60,holdout_ambiguous,300
final_F04,final_holdout,60,train_positive,180
final_F04,final_holdout,60,holdout_positive,60
final_F04,final_holdout,120,train_negative,129733
final_F04,final_holdout,120,holdout_negative,39154
final_F04,final_holdout,120,train_ineligible,14857
final_F04,final_holdout,120,holdout_ineligible,4807
final_F04,final_holdout,120,train_failure,4691
final_F04,final_holdout,120,train_ambiguous,720
final_F04,final_holdout,120,train_recovery,680
final_F04,final_holdout,120,train_positive,360
final_F04,final_holdout,120,holdout_ambiguous,240
final_F04,final_holdout,120,holdout_positive,120
